target,replicate,fastq1,fastq2,control1,control2
POLR2A-human,3,https://www.encodeproject.org/files/ENCFF545PSD/@@download/ENCFF545PSD.fastq.gz,https://www.encodeproject.org/files/ENCFF959SCN/@@download/ENCFF959SCN.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
POLR2A-human,4,https://www.encodeproject.org/files/ENCFF698ICA/@@download/ENCFF698ICA.fastq.gz,https://www.encodeproject.org/files/ENCFF839LPL/@@download/ENCFF839LPL.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
POLR2B-human,1,https://www.encodeproject.org/files/ENCFF058FFZ/@@download/ENCFF058FFZ.fastq.gz,https://www.encodeproject.org/files/ENCFF674GQJ/@@download/ENCFF674GQJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
POLR2B-human,2,https://www.encodeproject.org/files/ENCFF670UOV/@@download/ENCFF670UOV.fastq.gz,https://www.encodeproject.org/files/ENCFF841OOC/@@download/ENCFF841OOC.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
POLR2H-human,1,https://www.encodeproject.org/files/ENCFF022SAF/@@download/ENCFF022SAF.fastq.gz,https://www.encodeproject.org/files/ENCFF446YHR/@@download/ENCFF446YHR.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz
POLR2H-human,2,https://www.encodeproject.org/files/ENCFF277ZND/@@download/ENCFF277ZND.fastq.gz,https://www.encodeproject.org/files/ENCFF524UOO/@@download/ENCFF524UOO.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz
POLR2H-human,3,https://www.encodeproject.org/files/ENCFF613UAT/@@download/ENCFF613UAT.fastq.gz,https://www.encodeproject.org/files/ENCFF618IBA/@@download/ENCFF618IBA.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz,https://www.encodeproject.org/files/ENCFF026HSI/@@download/ENCFF026HSI.fastq.gz
PRDM10-human,1,https://www.encodeproject.org/files/ENCFF234PZS/@@download/ENCFF234PZS.fastq.gz,https://www.encodeproject.org/files/ENCFF758VSS/@@download/ENCFF758VSS.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz
PRDM10-human,2,https://www.encodeproject.org/files/ENCFF275AJE/@@download/ENCFF275AJE.fastq.gz,https://www.encodeproject.org/files/ENCFF939BBH/@@download/ENCFF939BBH.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
PTRF-human,1,https://www.encodeproject.org/files/ENCFF141RCB/@@download/ENCFF141RCB.fastq.gz,https://www.encodeproject.org/files/ENCFF781WSM/@@download/ENCFF781WSM.fastq.gz,https://www.encodeproject.org/files/ENCFF931LWJ/@@download/ENCFF931LWJ.fastq.gz,https://www.encodeproject.org/files/ENCFF928HTI/@@download/ENCFF928HTI.fastq.gz
